,ADWIN,CUSUM,DDM,GeometricMovingAverage,HDDMAverage,HDDMWeighted,Ground-truth
40,0.0,0.0,1.0,0.0,0.0,0.0,0.0
70,0.0,0.0,2.0,0.0,0.0,0.0,0.0
570,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22239,2.0,0.0,0.0,0.0,0.0,0.0,0.0
22418,2.0,0.0,0.0,0.0,1.0,0.0,0.0
22739,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22828,0.0,0.0,0.0,0.0,2.0,0.0,0.0
23246,0.0,0.0,1.0,0.0,2.0,0.0,0.0
23327,2.0,0.0,1.0,0.0,2.0,0.0,0.0
23328,2.0,0.0,1.0,0.0,0.0,0.0,0.0
23409,2.0,2.0,1.0,0.0,0.0,0.0,0.0
23697,2.0,2.0,1.0,0.0,0.0,1.0,0.0
23702,2.0,2.0,1.0,0.0,0.0,2.0,0.0
23704,2.0,2.0,1.0,0.0,1.0,2.0,0.0
23827,0.0,2.0,1.0,0.0,1.0,2.0,0.0
23909,0.0,0.0,1.0,0.0,1.0,2.0,0.0
24202,0.0,0.0,1.0,0.0,1.0,0.0,0.0
24204,0.0,0.0,1.0,0.0,0.0,0.0,0.0
24626,0.0,0.0,2.0,0.0,0.0,0.0,0.0
25126,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25333,0.0,0.0,1.0,0.0,1.0,0.0,0.0
25626,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25833,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44216,0.0,0.0,0.0,0.0,1.0,0.0,0.0
44383,2.0,0.0,0.0,0.0,1.0,0.0,0.0
44469,2.0,0.0,0.0,0.0,2.0,0.0,0.0
44627,2.0,0.0,1.0,0.0,2.0,0.0,0.0
44883,0.0,0.0,1.0,0.0,2.0,0.0,0.0
44969,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45458,0.0,2.0,1.0,0.0,0.0,0.0,0.0
45471,2.0,2.0,1.0,0.0,0.0,0.0,0.0
45958,2.0,0.0,1.0,0.0,0.0,0.0,0.0
45971,0.0,0.0,1.0,0.0,0.0,0.0,0.0
46665,0.0,0.0,2.0,0.0,0.0,0.0,0.0
47165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47582,0.0,0.0,1.0,0.0,0.0,0.0,0.0
