,ADWIN,CUSUM,DDM,GeometricMovingAverage,HDDMAverage,HDDMWeighted,Ground-truth
1000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1049,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1063,0.0,0.0,0.0,0.0,2.0,0.0,1.0
1087,2.0,0.0,0.0,0.0,2.0,0.0,1.0
1111,2.0,0.0,1.0,0.0,2.0,0.0,1.0
1120,2.0,0.0,1.0,0.0,2.0,1.0,1.0
1332,2.0,0.0,2.0,0.0,2.0,1.0,1.0
1352,2.0,0.0,2.0,0.0,2.0,2.0,1.0
1461,2.0,2.0,2.0,0.0,2.0,2.0,1.0
1500,2.0,2.0,2.0,0.0,2.0,2.0,0.0
1563,2.0,2.0,2.0,0.0,0.0,2.0,0.0
1587,0.0,2.0,2.0,0.0,0.0,2.0,0.0
1832,0.0,2.0,0.0,0.0,0.0,2.0,0.0
1852,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2017,0.0,0.0,0.0,0.0,2.0,0.0,1.0
2019,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2033,0.0,0.0,1.0,0.0,2.0,1.0,1.0
2047,2.0,0.0,1.0,0.0,2.0,1.0,1.0
2054,2.0,0.0,2.0,0.0,2.0,1.0,1.0
2058,2.0,0.0,2.0,0.0,2.0,2.0,1.0
2196,2.0,2.0,2.0,0.0,2.0,2.0,1.0
2500,2.0,2.0,2.0,0.0,2.0,2.0,0.0
2501,0.0,0.0,0.0,0.0,0.0,0.0,0.0
