,ADWIN,CUSUM,DDM,GeometricMovingAverage,HDDMAverage,HDDMWeighted,Ground-truth
101,0.0,0.0,1.0,0.0,0.0,0.0,0.0
601,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1356,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1363,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1390,0.0,0.0,1.0,0.0,1.0,1.0,1.0
1500,0.0,0.0,1.0,0.0,1.0,1.0,0.0
1856,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1863,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1890,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5065,0.0,0.0,0.0,0.0,1.0,1.0,1.0
5340,0.0,0.0,1.0,0.0,1.0,1.0,1.0
5341,0.0,0.0,1.0,0.0,1.0,2.0,1.0
5354,0.0,0.0,1.0,0.0,2.0,2.0,1.0
5471,2.0,0.0,1.0,0.0,2.0,2.0,1.0
5500,2.0,0.0,1.0,0.0,2.0,2.0,0.0
5841,2.0,0.0,1.0,0.0,2.0,0.0,0.0
5854,2.0,0.0,1.0,0.0,0.0,0.0,0.0
5942,2.0,0.0,1.0,0.0,0.0,1.0,0.0
5971,0.0,0.0,1.0,0.0,0.0,1.0,0.0
6000,0.0,0.0,1.0,0.0,0.0,1.0,1.0
6340,0.0,0.0,0.0,0.0,0.0,1.0,1.0
6442,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6502,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7000,0.0,0.0,1.0,0.0,0.0,0.0,1.0
7002,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7129,0.0,0.0,1.0,0.0,0.0,1.0,1.0
7500,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7629,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8000,0.0,0.0,1.0,0.0,0.0,0.0,1.0
8129,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8273,0.0,0.0,0.0,0.0,0.0,1.0,1.0
8500,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8773,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8875,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000,0.0,0.0,0.0,0.0,0.0,1.0,1.0
9375,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10002,0.0,0.0,0.0,0.0,0.0,1.0,1.0
