,ADWIN,CUSUM,DDM,GeometricMovingAverage,HDDMAverage,HDDMWeighted,Ground-truth
126,0.0,0.0,1.0,0.0,0.0,0.0,0.0
629,0.0,0.0,0.0,0.0,0.0,0.0,0.0
861,0.0,0.0,0.0,0.0,0.0,1.0,0.0
867,0.0,0.0,0.0,0.0,1.0,2.0,0.0
1368,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2220,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2222,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2229,0.0,0.0,0.0,0.0,1.0,2.0,1.0
2247,0.0,0.0,0.0,0.0,2.0,2.0,1.0
2335,2.0,0.0,0.0,0.0,2.0,2.0,1.0
2342,2.0,0.0,1.0,0.0,2.0,2.0,1.0
2564,2.0,0.0,2.0,0.0,2.0,2.0,1.0
2571,2.0,2.0,2.0,0.0,2.0,2.0,1.0
2601,2.0,2.0,2.0,0.0,2.0,2.0,0.0
2723,2.0,2.0,2.0,0.0,2.0,1.0,0.0
2748,2.0,2.0,2.0,0.0,0.0,1.0,0.0
2868,0.0,2.0,2.0,0.0,0.0,1.0,0.0
3065,0.0,2.0,0.0,0.0,0.0,1.0,0.0
3072,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3448,0.0,0.0,0.0,0.0,0.0,0.0,0.0
