Seed,Low error rate,Magnitude of change,Noise level,Stable concept duration,Duration of change,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
1,0.01,0.05,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
1,0.01,0.05,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
1,0.01,0.05,0.0,100000,0,10,0,11,0.0,0.0,0.0,0.0,,0.0045454524793397824,0.0045454524793397824,11,10
1,0.01,0.05,0.0,100000,1000,9,0,10,0.0,0.0,0.0,0.0,,0.004090907231405804,0.004090907231405804,10,9
1,0.01,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
1,0.01,0.05,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
1,0.01,0.05,0.1,100000,0,10,0,11,0.0,0.0,0.0,0.0,,0.00454544834711589,0.00454544834711589,11,10
1,0.01,0.05,0.1,100000,1000,9,0,10,0.0,0.0,0.0,0.0,,0.004090903512404302,0.004090903512404302,10,9
1,0.01,0.3,0.0,500,0,0,10,1,1.0,0.9090909090909091,0.9090909090909091,0.9523809523809523,315.6,0.0,0.909008271975275,11,10
1,0.01,0.3,0.0,500,1000,3,0,4,0.0,0.0,0.0,0.0,,0.2727024815925825,0.2727024815925825,4,3
1,0.01,0.3,0.0,100000,0,31,10,1,0.24390243902439024,0.9090909090909091,0.9090909090909091,0.38461538461538464,236.0,0.014090902685953324,0.018636355165293106,11,41
1,0.01,0.3,0.0,100000,1000,43,0,10,0.0,0.0,0.0,0.0,,0.019545445661161065,0.019545445661161065,10,43
1,0.01,0.3,0.1,500,0,0,9,2,1.0,0.8181818181818182,0.8181818181818182,0.9,318.22222222222223,0.0,0.8179587385258567,11,9
1,0.01,0.3,0.1,500,1000,3,0,4,0.0,0.0,0.0,0.0,,0.2726529128419522,0.2726529128419522,4,3
1,0.01,0.3,0.1,100000,0,34,10,1,0.22727272727272727,0.9090909090909091,0.9090909090909091,0.36363636363636365,234.8,0.015454524380194026,0.01999997272730992,11,44
1,0.01,0.3,0.1,100000,1000,39,0,10,0.0,0.0,0.0,0.0,,0.017727248553751972,0.017727248553751972,10,39
1,0.2,0.05,0.0,500,0,0,1,10,1.0,0.09090909090909091,0.09090909090909091,0.16666666666666669,177.0,0.0,0.0909008271975275,11,1
1,0.2,0.05,0.0,500,1000,1,0,4,0.0,0.0,0.0,0.0,,0.0909008271975275,0.0909008271975275,4,1
1,0.2,0.05,0.0,100000,0,38,0,11,0.0,0.0,0.0,0.0,,0.01727271942149117,0.01727271942149117,11,38
1,0.2,0.05,0.0,100000,1000,29,0,10,0.0,0.0,0.0,0.0,,0.013181812190085369,0.013181812190085369,10,29
1,0.2,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
1,0.2,0.05,0.1,500,1000,1,0,4,0.0,0.0,0.0,0.0,,0.09088430428065072,0.09088430428065072,4,1
1,0.2,0.05,0.1,100000,0,41,1,10,0.023809523809523808,0.09090909090909091,0.09090909090909091,0.03773584905660377,478.0,0.01863633822317515,0.01909088305788674,11,42
1,0.2,0.05,0.1,100000,1000,32,0,10,0.0,0.0,0.0,0.0,,0.01454543471077085,0.01454543471077085,10,32
