Seed,Low error rate,Magnitude of change,Noise level,Stable concept duration,Duration of change,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
1,0.01,0.05,0.0,500,0,1,0,11,0.0,0.0,0.0,0.0,,0.0909008271975275,0.0909008271975275,11,1
1,0.01,0.05,0.0,500,1000,4,0,4,0.0,0.0,0.0,0.0,,0.36360330879011,0.36360330879011,4,4
1,0.01,0.05,0.0,100000,0,20,0,11,0.0,0.0,0.0,0.0,,0.009090904958679565,0.009090904958679565,11,20
1,0.01,0.05,0.0,100000,1000,23,0,10,0.0,0.0,0.0,0.0,,0.010454540702481498,0.010454540702481498,10,23
1,0.01,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
1,0.01,0.05,0.1,500,1000,4,0,4,0.0,0.0,0.0,0.0,,0.3635372171226029,0.3635372171226029,4,4
1,0.01,0.05,0.1,100000,0,23,0,11,0.0,0.0,0.0,0.0,,0.010454531198366547,0.010454531198366547,11,23
1,0.01,0.05,0.1,100000,1000,23,0,10,0.0,0.0,0.0,0.0,,0.010454531198366547,0.010454531198366547,10,23
1,0.01,0.3,0.0,500,0,0,15,1,1.0,0.9375,0.9090909090909091,0.967741935483871,126.8,0.0,1.3635124079629124,11,15
1,0.01,0.3,0.0,500,1000,5,0,4,0.0,0.0,0.0,0.0,,0.4545041359876375,0.4545041359876375,4,5
1,0.01,0.3,0.0,100000,0,15,1,10,0.0625,0.09090909090909091,0.09090909090909091,0.07407407407407407,253.0,0.006818178719009673,0.007272723966943651,11,16
1,0.01,0.3,0.0,100000,1000,12,0,10,0.0,0.0,0.0,0.0,,0.005454542975207739,0.005454542975207739,10,12
1,0.01,0.3,0.1,500,0,0,11,1,1.0,0.9166666666666666,0.9090909090909091,0.9565217391304348,143.8,0.0,0.999727347087158,11,11
1,0.01,0.3,0.1,500,1000,3,0,4,0.0,0.0,0.0,0.0,,0.2726529128419522,0.2726529128419522,4,3
1,0.01,0.3,0.1,100000,0,14,0,11,0.0,0.0,0.0,0.0,,0.006363627685962246,0.006363627685962246,11,14
1,0.01,0.3,0.1,100000,1000,13,0,10,0.0,0.0,0.0,0.0,,0.005909082851250657,0.005909082851250657,10,13
1,0.2,0.05,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
1,0.2,0.05,0.0,500,1000,1,0,4,0.0,0.0,0.0,0.0,,0.0909008271975275,0.0909008271975275,4,1
1,0.2,0.05,0.0,100000,0,15,0,11,0.0,0.0,0.0,0.0,,0.006818178719009673,0.006818178719009673,11,15
1,0.2,0.05,0.0,100000,1000,10,0,10,0.0,0.0,0.0,0.0,,0.0045454524793397824,0.0045454524793397824,10,10
1,0.2,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
1,0.2,0.05,0.1,500,1000,1,0,4,0.0,0.0,0.0,0.0,,0.09088430428065072,0.09088430428065072,4,1
1,0.2,0.05,0.1,100000,0,3,0,11,0.0,0.0,0.0,0.0,,0.0013636345041347672,0.0013636345041347672,11,3
1,0.2,0.05,0.1,100000,1000,2,0,10,0.0,0.0,0.0,0.0,,0.0009090896694231781,0.0009090896694231781,10,2
