Seed,Low error rate,Magnitude of change,Noise level,Stable concept duration,Duration of change,Drifts,Valid Delay,"(0, 0, 0, 0, 0)","(0, 0, 0, 0, 1)","(0, 0, 0, 0, 2)","(0, 0, 0, 1, 0)","(0, 0, 0, 1, 1)","(0, 0, 0, 1, 2)","(0, 0, 0, 2, 0)","(0, 0, 0, 2, 1)","(0, 0, 0, 2, 2)","(0, 0, 1, 0, 0)","(0, 0, 1, 0, 1)","(0, 0, 1, 0, 2)","(0, 0, 1, 1, 0)","(0, 0, 1, 1, 1)","(0, 0, 1, 1, 2)","(0, 0, 1, 2, 0)","(0, 0, 1, 2, 1)","(0, 0, 1, 2, 2)","(0, 0, 2, 0, 0)","(0, 0, 2, 0, 1)","(0, 0, 2, 0, 2)","(0, 0, 2, 1, 0)","(0, 0, 2, 1, 1)","(0, 0, 2, 1, 2)","(0, 0, 2, 2, 0)","(0, 0, 2, 2, 1)","(0, 0, 2, 2, 2)","(0, 1, 0, 0, 0)","(0, 1, 0, 0, 1)","(0, 1, 0, 0, 2)","(0, 1, 0, 1, 0)","(0, 1, 0, 1, 1)","(0, 1, 0, 1, 2)","(0, 1, 0, 2, 0)","(0, 1, 0, 2, 1)","(0, 1, 0, 2, 2)","(0, 1, 1, 0, 0)","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 2)","(0, 1, 1, 1, 0)","(0, 1, 1, 1, 1)","(0, 1, 1, 1, 2)","(0, 1, 1, 2, 0)","(0, 1, 1, 2, 1)","(0, 1, 1, 2, 2)","(0, 1, 2, 0, 0)","(0, 1, 2, 0, 1)","(0, 1, 2, 0, 2)","(0, 1, 2, 1, 0)","(0, 1, 2, 1, 1)","(0, 1, 2, 1, 2)","(0, 1, 2, 2, 0)","(0, 1, 2, 2, 1)","(0, 1, 2, 2, 2)","(0, 2, 0, 0, 0)","(0, 2, 0, 0, 1)","(0, 2, 0, 0, 2)","(0, 2, 0, 1, 0)","(0, 2, 0, 1, 1)","(0, 2, 0, 1, 2)","(0, 2, 0, 2, 0)","(0, 2, 0, 2, 1)","(0, 2, 0, 2, 2)","(0, 2, 1, 0, 0)","(0, 2, 1, 0, 1)","(0, 2, 1, 0, 2)","(0, 2, 1, 1, 0)","(0, 2, 1, 1, 1)","(0, 2, 1, 1, 2)","(0, 2, 1, 2, 0)","(0, 2, 1, 2, 1)","(0, 2, 1, 2, 2)","(0, 2, 2, 0, 0)","(0, 2, 2, 0, 1)","(0, 2, 2, 0, 2)","(0, 2, 2, 1, 0)","(0, 2, 2, 1, 1)","(0, 2, 2, 1, 2)","(0, 2, 2, 2, 0)","(0, 2, 2, 2, 1)","(0, 2, 2, 2, 2)","(1, 0, 0, 0, 0)","(1, 0, 0, 0, 1)","(1, 0, 0, 0, 2)","(1, 0, 0, 1, 0)","(1, 0, 0, 1, 1)","(1, 0, 0, 1, 2)","(1, 0, 0, 2, 0)","(1, 0, 0, 2, 1)","(1, 0, 0, 2, 2)","(1, 0, 1, 0, 0)","(1, 0, 1, 0, 1)","(1, 0, 1, 0, 2)","(1, 0, 1, 1, 0)","(1, 0, 1, 1, 1)","(1, 0, 1, 1, 2)","(1, 0, 1, 2, 0)","(1, 0, 1, 2, 1)","(1, 0, 1, 2, 2)","(1, 0, 2, 0, 0)","(1, 0, 2, 0, 1)","(1, 0, 2, 0, 2)","(1, 0, 2, 1, 0)","(1, 0, 2, 1, 1)","(1, 0, 2, 1, 2)","(1, 0, 2, 2, 0)","(1, 0, 2, 2, 1)","(1, 0, 2, 2, 2)","(1, 1, 0, 0, 0)","(1, 1, 0, 0, 1)","(1, 1, 0, 0, 2)","(1, 1, 0, 1, 0)","(1, 1, 0, 1, 1)","(1, 1, 0, 1, 2)","(1, 1, 0, 2, 0)","(1, 1, 0, 2, 1)","(1, 1, 0, 2, 2)","(1, 1, 1, 0, 0)","(1, 1, 1, 0, 1)","(1, 1, 1, 0, 2)","(1, 1, 1, 1, 0)","(1, 1, 1, 1, 1)","(1, 1, 1, 1, 2)","(1, 1, 1, 2, 0)","(1, 1, 1, 2, 1)","(1, 1, 1, 2, 2)","(1, 1, 2, 0, 0)","(1, 1, 2, 0, 1)","(1, 1, 2, 0, 2)","(1, 1, 2, 1, 0)","(1, 1, 2, 1, 1)","(1, 1, 2, 1, 2)","(1, 1, 2, 2, 0)","(1, 1, 2, 2, 1)","(1, 1, 2, 2, 2)","(1, 2, 0, 0, 0)","(1, 2, 0, 0, 1)","(1, 2, 0, 0, 2)","(1, 2, 0, 1, 0)","(1, 2, 0, 1, 1)","(1, 2, 0, 1, 2)","(1, 2, 0, 2, 0)","(1, 2, 0, 2, 1)","(1, 2, 0, 2, 2)","(1, 2, 1, 0, 0)","(1, 2, 1, 0, 1)","(1, 2, 1, 0, 2)","(1, 2, 1, 1, 0)","(1, 2, 1, 1, 1)","(1, 2, 1, 1, 2)","(1, 2, 1, 2, 0)","(1, 2, 1, 2, 1)","(1, 2, 1, 2, 2)","(1, 2, 2, 0, 0)","(1, 2, 2, 0, 1)","(1, 2, 2, 0, 2)","(1, 2, 2, 1, 0)","(1, 2, 2, 1, 1)","(1, 2, 2, 1, 2)","(1, 2, 2, 2, 0)","(1, 2, 2, 2, 1)","(1, 2, 2, 2, 2)","(2, 0, 0, 0, 0)","(2, 0, 0, 0, 1)","(2, 0, 0, 0, 2)","(2, 0, 0, 1, 0)","(2, 0, 0, 1, 1)","(2, 0, 0, 1, 2)","(2, 0, 0, 2, 0)","(2, 0, 0, 2, 1)","(2, 0, 0, 2, 2)","(2, 0, 1, 0, 0)","(2, 0, 1, 0, 1)","(2, 0, 1, 0, 2)","(2, 0, 1, 1, 0)","(2, 0, 1, 1, 1)","(2, 0, 1, 1, 2)","(2, 0, 1, 2, 0)","(2, 0, 1, 2, 1)","(2, 0, 1, 2, 2)","(2, 0, 2, 0, 0)","(2, 0, 2, 0, 1)","(2, 0, 2, 0, 2)","(2, 0, 2, 1, 0)","(2, 0, 2, 1, 1)","(2, 0, 2, 1, 2)","(2, 0, 2, 2, 0)","(2, 0, 2, 2, 1)","(2, 0, 2, 2, 2)","(2, 1, 0, 0, 0)","(2, 1, 0, 0, 1)","(2, 1, 0, 0, 2)","(2, 1, 0, 1, 0)","(2, 1, 0, 1, 1)","(2, 1, 0, 1, 2)","(2, 1, 0, 2, 0)","(2, 1, 0, 2, 1)","(2, 1, 0, 2, 2)","(2, 1, 1, 0, 0)","(2, 1, 1, 0, 1)","(2, 1, 1, 0, 2)","(2, 1, 1, 1, 0)","(2, 1, 1, 1, 1)","(2, 1, 1, 1, 2)","(2, 1, 1, 2, 0)","(2, 1, 1, 2, 1)","(2, 1, 1, 2, 2)","(2, 1, 2, 0, 0)","(2, 1, 2, 0, 1)","(2, 1, 2, 0, 2)","(2, 1, 2, 1, 0)","(2, 1, 2, 1, 1)","(2, 1, 2, 1, 2)","(2, 1, 2, 2, 0)","(2, 1, 2, 2, 1)","(2, 1, 2, 2, 2)","(2, 2, 0, 0, 0)","(2, 2, 0, 0, 1)","(2, 2, 0, 0, 2)","(2, 2, 0, 1, 0)","(2, 2, 0, 1, 1)","(2, 2, 0, 1, 2)","(2, 2, 0, 2, 0)","(2, 2, 0, 2, 1)","(2, 2, 0, 2, 2)","(2, 2, 1, 0, 0)","(2, 2, 1, 0, 1)","(2, 2, 1, 0, 2)","(2, 2, 1, 1, 0)","(2, 2, 1, 1, 1)","(2, 2, 1, 1, 2)","(2, 2, 1, 2, 0)","(2, 2, 1, 2, 1)","(2, 2, 1, 2, 2)","(2, 2, 2, 0, 0)","(2, 2, 2, 0, 1)","(2, 2, 2, 0, 2)","(2, 2, 2, 1, 0)","(2, 2, 2, 1, 1)","(2, 2, 2, 1, 2)","(2, 2, 2, 2, 0)","(2, 2, 2, 2, 1)","(2, 2, 2, 2, 2)"
10,0.01,0.05,0.0,100000,0,10,500,1370543,242108,106185,7128,3098,3765,975,578,2563,128067,71885,34011,358,0,500,0,0,0,2308,1857,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6963,3851,2713,0,0,0,0,0,0,2465,1454,727,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,627,15,6,73,2,506,762,52,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,10,0,87,1929,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.01,0.05,0.0,100000,0,20,500,2831214,522025,231852,15584,7587,11053,2395,2546,4753,169523,100326,45525,746,128,1308,0,0,9,3908,3615,910,87,391,0,1,0,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12298,7970,4441,591,85,667,0,0,0,3031,1454,1177,0,0,0,10,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1362,464,2031,15,49,231,2,875,1788,52,201,0,0,0,10,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,141,0,87,2940,0,248,0,0,0,0,23,0,454,0,0,0,0,0,0,0,0,0
10,0.01,0.05,0.0,100000,0,30,500,4163878,745406,330790,22500,9653,17840,3946,3753,4764,334535,181376,86117,4890,4134,2439,134,390,487,5336,5300,1955,143,604,461,1,0,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17778,10183,7107,1060,85,667,0,0,0,7009,3383,1978,172,829,0,10,0,0,56,128,1,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371,885,2784,22,186,368,2,1237,2210,336,418,0,0,0,10,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983,0,34,275,0,332,4147,0,248,0,0,0,0,23,0,721,0,0,0,0,0,0,0,0,31
10,0.01,0.05,0.0,100000,0,40,500,5473681,938061,406555,30980,12718,20996,6877,4833,5922,542728,291272,137410,6534,5446,4565,286,695,611,8259,6861,2488,143,1098,461,1,0,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21257,12832,9372,1060,85,799,0,0,270,8596,6074,2754,185,1621,0,96,37,0,56,128,1,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2743,904,3808,90,199,442,2,1322,2974,336,418,0,81,0,10,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,1354,0,34,331,6,332,5517,0,248,0,0,0,0,23,0,843,0,0,0,0,0,0,0,0,31
10,0.01,0.05,0.0,100000,1000,10,500,1152354,304958,237458,18271,8421,9337,797,724,2982,59654,62745,62052,372,500,660,618,1,273,2057,5639,4335,0,0,1139,0,0,1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13610,14950,17459,0,37,0,0,0,0,2025,3035,6313,0,0,0,0,0,0,131,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1389,2027,273,127,173,855,4,747,396,561,1353,1311,0,668,942,51,0,725,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,894,714,0,29,352,0,459,4493,341,1511,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.01,0.05,0.0,100000,1000,20,500,2337243,616004,509710,37304,17605,31046,5434,3728,6987,85086,113148,93066,937,1383,2104,665,418,1439,4325,10873,8111,97,471,1139,0,0,1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19773,24338,29823,1778,1334,1670,262,0,100,3383,3741,8967,0,0,0,0,0,912,131,23,1084,0,0,0,58,89,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3675,2674,931,352,361,1346,25,1974,758,4570,2680,1312,0,668,1735,51,762,725,432,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,894,1601,0,66,515,0,813,8910,631,1511,551,0,0,0,0,0,278,0,0,0,0,0,0,0,0,1070
10,0.01,0.05,0.0,100000,1000,30,500,3466583,840757,712188,50753,25921,47545,5714,4260,11004,181739,227200,195021,6433,5590,12769,711,835,9656,8538,13614,11241,239,1556,2464,0,0,1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28092,31243,40237,1796,1576,1670,262,0,100,5778,5547,18879,79,1377,485,0,0,912,131,23,1115,0,0,0,58,89,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5701,4006,2002,511,409,1939,606,2263,1358,4614,4009,2314,105,668,2529,51,762,725,1272,442,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,904,2509,43,180,836,0,1124,12579,631,1587,551,0,0,0,0,0,576,0,0,0,0,0,0,0,0,2054
10,0.01,0.05,0.0,100000,1000,40,500,4636598,1107448,952386,70047,31663,67792,8096,7572,14784,238737,310761,262635,7551,10020,15706,1044,1005,11199,10430,17007,16467,880,1563,3060,17,3,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33524,37470,47520,2317,1966,1670,262,0,100,8097,7195,27684,116,1377,1755,0,0,2119,382,23,1890,0,0,0,58,89,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6365,4830,2961,1273,533,2009,678,3188,2334,4614,4119,4271,215,1217,2648,51,762,725,1272,442,405,0,0,0,0,106,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,1181,2982,43,257,1135,0,1225,17156,631,1587,551,0,0,0,0,0,576,0,0,0,0,0,0,0,0,3329
10,0.01,0.05,0.0,5000,0,10,500,57672,8377,2052,847,153,14,501,41,554,12901,7144,2505,0,60,0,0,0,0,460,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,893,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,325,0,87,137,0,88,1631,0,0,0,0,0,0,0,0,1093,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,46,0,0,0,0,0,0,0,635,376,0,0,0,0,0,0,0,0
10,0.01,0.05,0.0,5000,0,20,500,113750,13112,4724,2029,543,71,511,556,618,26764,12398,4872,89,494,988,0,0,493,1333,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,1,28,0,0,0,0,0,33,1902,1011,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096,160,636,40,87,233,257,88,3143,730,54,600,0,6,0,0,0,2144,79,0,0,0,33,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,59,0,344,0,0,0,0,0,1395,376,0,0,0,0,0,0,6,362
