,Seed,Low error rate,Magnitude of change,Noise level,Stable concept duration,Duration of change,Drifts,Valid Delay,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
0,10,0.01,0.05,0.0,100000,0,10,500,1,10,0,0.9090909090909092,1.0,1.0,0.9523809523809524,306.4,0.0004998750312421,0.005498625343664,10,11
0,10,0.01,0.05,0.0,100000,0,20,500,13,0,20,0.0,0.0,0.0,0.0,,0.0032495938007749,0.0032495938007749,20,13
0,10,0.01,0.05,0.0,100000,0,30,500,2,29,1,0.935483870967742,0.9666666666666668,0.9666666666666668,0.9508196721311476,268.0344827586207,0.0003333055578701,0.0051662361469877,30,31
0,10,0.01,0.05,0.0,100000,0,40,500,0,0,40,0.0,0.0,0.0,0.0,,0.0,0.0,40,0
0,10,0.01,0.05,0.0,100000,1000,10,500,8,1,9,0.1111111111111111,0.1,0.1,0.1052631578947368,1200.0,0.003959415986142,0.0044543429844097,10,9
0,10,0.01,0.05,0.0,100000,1000,20,500,0,0,20,0.0,0.0,0.0,0.0,,0.0,0.0,20,0
0,10,0.01,0.05,0.0,100000,1000,30,500,2,30,0,0.9375,1.0,1.0,0.967741935483871,836.2,0.000330005775101,0.005280092401617,30,32
0,10,0.01,0.05,0.0,100000,1000,40,500,2,39,1,0.951219512195122,0.975,0.975,0.9629629629629628,843.4871794871794,0.0002475094362972,0.0050739434440938,40,41
0,10,0.01,0.05,0.0,5000,0,10,500,3,6,4,0.6666666666666666,0.6,0.6,0.631578947368421,313.3333333333333,0.0298507462686567,0.0895522388059701,10,9
0,10,0.01,0.05,0.0,5000,0,20,500,4,16,4,0.8,0.8,0.8,0.8000000000000002,324.0,0.0199501246882793,0.0997506234413965,20,20
0,10,0.01,0.05,0.0,5000,0,30,500,7,23,7,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,335.1304347826087,0.0232945091514143,0.0998336106489184,30,30
0,10,0.01,0.05,0.0,5000,0,40,500,7,33,7,0.825,0.825,0.825,0.825,334.06060606060606,0.0174781523096129,0.0998751560549313,40,40
0,10,0.01,0.05,0.0,5000,1000,10,500,5,5,5,0.5,0.5,0.5,0.5,966.2,0.0414937759336099,0.0829875518672199,10,10
0,10,0.01,0.05,0.0,5000,1000,20,500,19,0,20,0.0,0.0,0.0,0.0,,0.079002079002079,0.079002079002079,20,19
