,ADWIN,CUSUM,DDM,EDDM,HDDMAverage,HDDMWeighted,Prediction,Ground-Truth
261,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
316,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
429,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
780,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
1133,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0
1134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1166,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1252,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1324,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
1329,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
1504,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0
1505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1596,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
1598,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
1850,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
3099,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
4895,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
5578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11360,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11489,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
11490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11530,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11665,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
11676,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
11682,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
12043,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0
12154,0.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0
12155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12204,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12243,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
12486,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
12488,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0
12489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12548,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12605,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
12608,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
12684,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
12703,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0
12704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12805,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
12856,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
14875,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
15329,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
16812,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
16857,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
18362,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
19266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19833,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21381,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
23000,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
23001,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
23327,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
23476,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
23535,2.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0
23536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23651,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
23705,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
23931,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
24334,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
25056,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0
25229,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0
25432,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0
26160,0.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0
26161,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26297,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
27834,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
28760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35440,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35564,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
35565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35648,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35684,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
35847,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
36099,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
36152,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0
36153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36238,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
37007,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
37057,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
37739,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
38479,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
38595,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
41284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47384,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47526,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
47527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47638,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
47649,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
48045,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
48055,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
49078,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0
49556,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0
49892,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0
50579,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
