,ADWIN,CUSUM,DDM,EDDM,HDDMAverage,HDDMWeighted,Prediction,Ground-Truth
31,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
442,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
1750,2.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0
1880,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0
1881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2072,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2087,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
3024,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
3030,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
3606,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
3662,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
4531,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
6120,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9014,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
11001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11312,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
11320,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
11441,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
11442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11476,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11515,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
11612,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
12002,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
12133,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0
12640,0.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0
12641,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12709,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
12765,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
13790,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
13941,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
14461,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
15442,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
16854,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
18362,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
19087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23214,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23360,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
23361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23490,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
23502,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
24116,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
24186,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
24335,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0
24867,0.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0
24868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24905,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
24969,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
25134,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
25247,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
25249,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
26750,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
27243,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
27255,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
28185,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
28756,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
28999,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
30488,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30500,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35395,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35417,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35543,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
35544,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
35904,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
36100,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0
