,ADWIN,CUSUM,DDM,HDDMAverage,HDDMWeighted,Prediction,Ground-Truth
198,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3336,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11339,2.0,0.0,0.0,0.0,0.0,0.0,0.0
11445,2.0,0.0,0.0,1.0,0.0,1.0,0.0
11446,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11542,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11751,0.0,0.0,2.0,0.0,0.0,0.0,0.0
12087,0.0,0.0,2.0,0.0,1.0,0.0,0.0
12089,0.0,0.0,2.0,0.0,2.0,0.0,0.0
12105,0.0,0.0,2.0,1.0,2.0,1.0,0.0
12106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12712,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14119,0.0,0.0,1.0,0.0,1.0,0.0,0.0
15268,0.0,0.0,1.0,1.0,1.0,1.0,0.0
15269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15344,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15349,0.0,0.0,1.0,1.0,0.0,0.0,0.0
16797,0.0,0.0,1.0,1.0,1.0,1.0,0.0
16798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17006,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17469,0.0,0.0,1.0,0.0,1.0,0.0,0.0
18680,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23261,2.0,0.0,0.0,0.0,0.0,0.0,0.0
23389,2.0,0.0,1.0,0.0,0.0,0.0,0.0
23455,2.0,0.0,1.0,1.0,0.0,1.0,0.0
23456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23491,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23845,0.0,0.0,2.0,0.0,0.0,0.0,0.0
24035,0.0,0.0,2.0,0.0,1.0,0.0,0.0
24078,0.0,0.0,2.0,0.0,2.0,0.0,0.0
