Seed,Low error rate,Magnitude of change,Noise level,Stable concept duration,Duration of change,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
1,0.01,0.05,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
1,0.01,0.05,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
1,0.01,0.05,0.0,100000,0,10,0,11,0.0,0.0,0.0,0.0,,0.0045454524793397824,0.0045454524793397824,11,10
1,0.01,0.05,0.0,100000,1000,9,0,10,0.0,0.0,0.0,0.0,,0.004090907231405804,0.004090907231405804,10,9
1,0.01,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
1,0.01,0.05,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
1,0.01,0.05,0.1,100000,0,10,0,11,0.0,0.0,0.0,0.0,,0.00454544834711589,0.00454544834711589,11,10
1,0.01,0.05,0.1,100000,1000,9,0,10,0.0,0.0,0.0,0.0,,0.004090903512404302,0.004090903512404302,10,9
1,0.01,0.3,0.0,500,0,0,10,1,1.0,0.9090909090909091,0.9090909090909091,0.9523809523809523,38.1,0.0,0.909008271975275,11,10
1,0.01,0.3,0.0,500,1000,4,0,4,0.0,0.0,0.0,0.0,,0.36360330879011,0.36360330879011,4,4
1,0.01,0.3,0.0,100000,0,16,10,1,0.38461538461538464,0.9090909090909091,0.9090909090909091,0.5405405405405405,121.9,0.007272723966943651,0.011818176446283434,11,26
1,0.01,0.3,0.0,100000,1000,24,1,9,0.04,0.1,0.1,0.05714285714285714,493.0,0.010909085950415478,0.011363631198349456,10,25
1,0.01,0.3,0.1,500,0,0,10,1,1.0,0.9090909090909091,0.9090909090909091,0.9523809523809523,53.2,0.0,0.9088430428065074,11,10
1,0.01,0.3,0.1,500,1000,3,0,4,0.0,0.0,0.0,0.0,,0.2726529128419522,0.2726529128419522,4,3
1,0.01,0.3,0.1,100000,0,10,10,1,0.5,0.9090909090909091,0.9090909090909091,0.6451612903225806,206.7,0.00454544834711589,0.00909089669423178,11,20
1,0.01,0.3,0.1,100000,1000,21,1,9,0.045454545454545456,0.1,0.1,0.06250000000000001,485.0,0.00954544152894337,0.00999998636365496,10,22
1,0.2,0.05,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
1,0.2,0.05,0.0,500,1000,1,0,4,0.0,0.0,0.0,0.0,,0.0909008271975275,0.0909008271975275,4,1
1,0.2,0.05,0.0,100000,0,26,0,11,0.0,0.0,0.0,0.0,,0.011818176446283434,0.011818176446283434,11,26
1,0.2,0.05,0.0,100000,1000,19,0,10,0.0,0.0,0.0,0.0,,0.008636359710745585,0.008636359710745585,10,19
1,0.2,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
1,0.2,0.05,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
1,0.2,0.05,0.1,100000,0,28,0,11,0.0,0.0,0.0,0.0,,0.012727255371924493,0.012727255371924493,11,28
1,0.2,0.05,0.1,100000,1000,21,0,10,0.0,0.0,0.0,0.0,,0.00954544152894337,0.00954544152894337,10,21
