Seed,Low error rate,Magnitude of change,Noise level,Stable concept duration,Duration of change,fp,tp,fn,precision,recall,episode_recall,f1,mdt,far,ar,n_episodes,n_alarms
1,0.01,0.05,0.0,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
1,0.01,0.05,0.0,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
1,0.01,0.05,0.0,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
1,0.01,0.05,0.0,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
1,0.01,0.05,0.1,500,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
1,0.01,0.05,0.1,500,1000,0,0,4,0.0,0.0,0.0,0.0,,0.0,0.0,4,0
1,0.01,0.05,0.1,100000,0,0,0,11,0.0,0.0,0.0,0.0,,0.0,0.0,11,0
1,0.01,0.05,0.1,100000,1000,0,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,10,0
1,0.01,0.3,0.0,500,0,0,11,1,1.0,0.9166666666666666,0.9090909090909091,0.9565217391304348,154.9,0.0,0.9999090991728026,11,11
1,0.01,0.3,0.0,500,1000,3,0,4,0.0,0.0,0.0,0.0,,0.2727024815925825,0.2727024815925825,4,3
1,0.01,0.3,0.0,100000,0,392,10,1,0.024875621890547265,0.9090909090909091,0.9090909090909091,0.04842615012106538,134.9,0.17818173719011945,0.18272718966945925,11,402
1,0.01,0.3,0.0,100000,1000,381,0,10,0.0,0.0,0.0,0.0,,0.1731817394628457,0.1731817394628457,10,381
1,0.01,0.3,0.1,500,0,0,10,1,1.0,0.9090909090909091,0.9090909090909091,0.9523809523809523,144.6,0.0,0.9088430428065074,11,10
1,0.01,0.3,0.1,500,1000,3,0,4,0.0,0.0,0.0,0.0,,0.2726529128419522,0.2726529128419522,4,3
1,0.01,0.3,0.1,100000,0,395,11,1,0.027093596059113302,0.9166666666666666,0.9090909090909091,0.052631578947368425,170.9,0.17954520971107765,0.18454520289290516,11,406
1,0.01,0.3,0.1,100000,1000,377,0,10,0.0,0.0,0.0,0.0,,0.17136340268626907,0.17136340268626907,10,377
1,0.2,0.05,0.0,500,0,0,1,10,1.0,0.09090909090909091,0.09090909090909091,0.16666666666666669,415.0,0.0,0.0909008271975275,11,1
1,0.2,0.05,0.0,500,1000,1,0,4,0.0,0.0,0.0,0.0,,0.0909008271975275,0.0909008271975275,4,1
1,0.2,0.05,0.0,100000,0,310,2,9,0.00641025641025641,0.18181818181818182,0.18181818181818182,0.012383900928792569,239.0,0.14090902685953324,0.1418181173554012,11,312
1,0.2,0.05,0.0,100000,1000,282,1,9,0.0035335689045936395,0.1,0.1,0.006825938566552902,298.0,0.12818175991738187,0.12863630516531582,10,283
1,0.2,0.05,0.1,500,0,0,1,10,1.0,0.09090909090909091,0.09090909090909091,0.16666666666666669,183.0,0.0,0.09088430428065072,11,1
1,0.2,0.05,0.1,500,1000,1,0,4,0.0,0.0,0.0,0.0,,0.09088430428065072,0.09088430428065072,4,1
1,0.2,0.05,0.1,100000,0,306,1,10,0.003257328990228013,0.09090909090909091,0.09090909090909091,0.006289308176100629,455.0,0.13909071942174625,0.13954526425645783,11,307
